Nave;B.2.1; False; False
Nave;B.2.2; True; False
Nave;B.2.3; True; False
Nave;B.2.4; False; False
Nave;B.4.1; True; False
Nave;B.4.2; False; False
Nave;B.4.3; True; True
Nave;B.4.4; True; False
Nord;N.2.1; True; False
Nord;N.2.2; True; False
Nord;N.2.3; True; False
Nord;N.2.4; True; True
Nord;N.1.6; False; False
Sud;S.1.1; True; False
Sud;S.1.2; False; True
Sud;S.1.3; False; True
Sud;S.1.4; False; True
Sud;S.1.5; False; True
Sud;S.1.6; False; True
Sud;S.1.7; True; True
Sud;S.1.8; True; True
Sud;S.1.9; True; True
L26;L26.01; False; False
L26;L26.02; False; False
L26;L26.03; False; False
L26;L26.04; False; True
L26;L26.11; False; False
L26;L26.12; False; False
L26;L26.13; True; True
L26;L26.14; True; True
L26;L26.15; False; False
L26;L26.16; False; False
